ID,Site,Sub-layer,Raw.material,Fire,Cortex,Cortex.position,Class,Blank,Blank.technology,Technology,Preservation,Length,Width,Thickness,Platform.width,Platform.thickness,Platform.type,Platform.shape,Dorsal.thinning,Bulb,Bulbar.scars,Bulb.type,Shattered.bulb,Lip,Lip.type,Knapping.technique,Curvature,Torsion,Section,Blank.shape,Scar.pattern,Scar.Pattern.2,Distal.end,Plunging,Bladelet.negatives,Typology,Typology.new,Typology.macro,Aurignacian.retouch,Retouch.position,Dorsal.retouch.localization,Ventral.retouch.localization,left_right,unilateral_bilateral,Angle.retouch.left,Angle.retouch.right,Angle.retouch.base.apex,Retouch.type.left,Retouch.type.right,Retouch.type.base.apex,Retouch.shape.left,Retouch.shape.right,Retouch.shape.base.apex,Max.retouch.length,Bulin.spalls.negative,Torsion.simplified,Platform_ratio,Robustness,Elongation,Volume,Area,Scanner,model.3D
Ca_1,Cala,AU12,Chert,FALSE,0%,NA,Core-Tool,Flake,Undetermined,Undetermined,Complete,29.10000038,20.10000038,60.79999924,NA,NA,Undetermined,NA,FALSE,FALSE,FALSE,Absent,NA,FALSE,Absent,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,Endscraper thick-nosed,Endscraper thick-nosed,Endscraper,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.330592116,1.447761186,9704.902344,3268.629199,Artec.Spider,yes
Ca_2,Cala,AU12,Radiolarite,FALSE,1-33%,NA,Core-Tool,Flake,Semi-cortical,Semi-cortical,Undetermined,17.79999924,25.70000076,25.5,NA,NA,NA,NA,FALSE,FALSE,FALSE,Absent,NA,FALSE,Absent,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,Rabot,Rabot,Rabot,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.007843167,0.692606954,3555.448975,1460.136173,Artec.Spider,yes
Ca_3,Cala,AU12,Chert,TRUE,0%,NA,Core-Tool,Flake,Undetermined,Undetermined,Undetermined,12.5,24.79999924,18.20000076,NA,NA,NA,NA,FALSE,FALSE,FALSE,Absent,NA,FALSE,Absent,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,Endscraper carinated,Endscraper carinated,Endscraper,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.362637264,0.504032274,2318.9021,1141.989158,Artec.Spider,yes
Ca_4,Cala,AU12,Radiolarite,TRUE,33-66%,NA,Core-Tool,Other,Other,Other,Other,22.89999962,37.29999924,40.09999847,NA,NA,NA,NA,FALSE,FALSE,FALSE,Absent,NA,FALSE,Absent,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,Endscraper carinated,Endscraper carinated,Endscraper,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93017458,0.613941021,9328.821289,3128.00916,Artec.Spider,yes
Ca_5,Cala,AU12,Radiolarite,FALSE,1-33%,Proximal,Core-Tool,Flake,Semi-cortical,Semi-cortical,Complete,27.39999962,24.39999962,13.80000019,21.70000076,6.199999809,Cortical,Rectangular,FALSE,FALSE,FALSE,Absent,NA,FALSE,Absent,NA,Curved,0,Rectangular,Irregular,Unidirectional,Unidirectional parallel,Irregular,FALSE,FALSE,Endscraper thick-nosed,Endscraper thick-nosed,Endscraper,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,3.500000231,1.76811589,1.122950822,4639.98584,1857.956199,Artec.Spider,yes
Ca_6,Cala,AU12,Radiolarite,FALSE,0%,NA,Tool,Flake,Optimal production,Optimal,Complete,39.40000153,23.39999962,13.19999981,11.30000019,7.199999809,Plain,Oval,FALSE,TRUE,FALSE,Pronounced,NA,FALSE,Absent,NA,Straight,0,Triangular,Sub-parallel,Unidirectional,Unidirectional parallel,Convex,FALSE,TRUE,Endscraper;Flake retouched,Composite tool,Composite tool,no,Direct,Distal,NA,NA,NA,NA,NA,NA,NA,NA,Lamellar,NA,NA,NA,9.399999619,NA,no,1.569444513,1.772727269,1.683760776,4248.004395,1878.601376,Artec.Spider,yes
Ca_7,Cala,AU12,Radiolarite,FALSE,0%,NA,Core-Tool,Flake,Optimal production,Optimal,Distal,13.69999981,33.59999847,42,NA,NA,Undetermined,NA,FALSE,FALSE,FALSE,Absent,NA,FALSE,Absent,NA,NA,NA,NA,NA,Crossed,Other,NA,FALSE,FALSE,Endscraper carinated;Flake retouched,Composite tool,Composite tool,no,Direct,Continuous right;Distal,NA,NA,NA,NA,NA,NA,NA,Scalariform,NA,NA,NA,NA,NA,NA,NA,NA,0.799999964,0.407738108,8095.224121,2981.705474,Artec.Spider,yes
Ca_8,Cala,AU12,Radiolarite,FALSE,1-33%,Left,Tool,Flake,Semi-cortical,Semi-cortical,Complete,48.79999924,41.79999924,12.5,NA,NA,Undetermined,NA,FALSE,FALSE,FALSE,Absent,NA,FALSE,Absent,NA,NA,NA,NA,NA,Unidirectional,Unidirectional parallel,NA,FALSE,FALSE,Endscraper;Flake retouched,Composite tool,Composite tool,no,Direct,Continuous right;Distal,NA,NA,NA,NA,NA,NA,NA,Stepped,Lamellar,NA,NA,NA,11,NA,NA,NA,3.343999939,1.167464118,11279.41309,3881.448755,Artec.Spider,yes
Ca_9,Cala,AU12,Chert,FALSE,1-33%,NA,Core-Tool,Flake,Undetermined,Undetermined,Undetermined,12.19999981,20.89999962,28.10000038,NA,NA,Undetermined,NA,FALSE,FALSE,FALSE,Absent,NA,FALSE,Absent,NA,Straight,NA,NA,NA,NA,NA,NA,FALSE,FALSE,Endscraper carinated,Endscraper carinated,Endscraper,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.743772218,0.583732059,2397.669189,1190.365406,Artec.Spider,yes
Ca_10,Cala,AU12,Chert,FALSE,0%,NA,Core-Tool,Flake,Maintenance,Maintenance,Undetermined,17.29999924,20.70000076,27,NA,NA,NA,NA,FALSE,FALSE,FALSE,Absent,NA,FALSE,Absent,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,Endscraper carinated,Endscraper carinated,Endscraper,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.766666695,0.835748725,2063.922363,1079.74858,Artec.Spider,yes
