ID,Site,Sub-layer,Raw.material,Termal.alteration,Cortex,Cortex.position.core,Class,Core.blank,Laminar_y.n,Carinated_y.n,Core.type,Core.classification,Core.classification.2,Core.classification.3,Blank.production,Length,Width,Thickness,Flaking.surface.length,Flaking.surface.width,Second.flaking.surface.length,Second.flaking.surface.width,Last.removal.blank,Last.removal.length,Last.removal.width,Platform.number,Striking.platform,Second.striking.platform,Flaking.direction,Reduction.pattern,Surfaces.number,Ratio_fsl_thickness,Ratio_l_t,Ratio_fsl_width,Ratio_l_w,Ratio_w_t,Volume,Area,Scanner,model.3D
Ca_1,Cala,AU12,Chert,FALSE,0%,NA,Core-Tool,Flake,yes,yes,E - carinated,Carinated,Carinated endscraper,Carinated endscraper,Bladelet,29.10000038,20.10000038,60.79999924,19,13.80000019,NA,NA,Bladelet,14.80000019,4.599999905,1,Ventral face,NA,Unidirectional,Convergent,1,0.312500004,0.478618433,0.945273614,1.447761186,0.330592116,9704.902344,3268.629199,Artec.Spider,yes
Ca_2,Cala,AU12,Radiolarite,FALSE,1-33%,Back,Core-Tool,Flake,yes,yes,E - carinated,Carinated,Carinated core,Carinated core,Bladelet,17.79999924,25.70000076,25.5,18.10000038,25.70000076,NA,NA,Bladelet,13,4.599999905,1,Reshaped,NA,Unidirectional,Convergent,1,0.709803937,0.698039186,0.70428015,0.692606954,1.007843167,3555.448975,1460.136173,Artec.Spider,yes
Ca_3,Cala,AU12,Chert,TRUE,0%,NA,Core-Tool,Flake,yes,yes,E - carinated,Carinated,Carinated endscraper,Carinated endscraper,Bladelet,12.5,24.79999924,18.20000076,21.39999962,12.69999981,NA,NA,Bladelet,10.30000019,5.5,1,Ventral face,NA,Unidirectional,Sub-parallel,1,1.175824106,0.686813158,0.862903237,0.504032274,1.362637264,2318.9021,1141.989158,Artec.Spider,yes
Ca_4,Cala,AU12,Radiolarite,TRUE,33-66%,Back;Base,Core-Tool,Flake,yes,yes,E - carinated,Carinated,Carinated endscraper,Carinated endscraper,Bladelet,22.89999962,37.29999924,40.09999847,18.39999962,33.70000076,NA,NA,Bladelet,18,9,1,Ventral face,NA,Unidirectional,Sub-parallel,1,0.458852876,0.571072331,0.493297587,0.613941021,0.93017458,9328.821289,3128.00916,Artec.Spider,yes
Ca_5,Cala,AU12,Radiolarite,FALSE,1-33%,Lateral left,Core-Tool,Flake,yes,yes,E - carinated,Carinated,Carinated endscraper,Carinated endscraper,Bladelet-Flake,13.8,24.39999962,27.4,15,18.5,NA,NA,Bladelet,9.8,5.7,1,Ventral face,NA,Unidirectional,Sub-parallel,1,0.547445255,0.503649635,0.614754108,0.565573779,0.890510935,4639.98584,1857.956199,Artec.Spider,yes
Ca_7,Cala,AU12,Radiolarite,FALSE,0%,NA,Core-Tool,Flake,yes,yes,E - carinated,Carinated,Carinated endscraper,Carinated endscraper,Bladelet,13.69999981,33.59999847,42,18.5,32.79999924,NA,NA,Bladelet,11.9,3.5,1,Ventral face,NA,Unidirectional,Convergent,1,0.44047619,0.326190472,0.550595263,0.407738108,0.799999964,8095.224121,2981.705474,Artec.Spider,yes
Ca_9,Cala,AU12,Chert,FALSE,1-33%,Back,Core-Tool,Flake,yes,yes,E - carinated,Carinated,Carinated endscraper,Carinated endscraper,Bladelet,12.19999981,20.89999962,28.10000038,21,20.5,NA,NA,Bladelet,17.6,3.9,1,Ventral face,NA,Unidirectional,Convergent,1,0.747330951,0.434163688,1.004784707,0.583732059,0.743772218,2397.669189,1190.365406,Artec.Spider,yes
Ca_10,Cala,AU12,Chert,FALSE,0%,NA,Core-Tool,Flake,yes,yes,E - carinated,Carinated,Carinated endscraper,Carinated endscraper,Bladelet,17.29999924,20.70000076,27,19,21.39999962,NA,NA,Bladelet,14.4,5,1,Ventral face,NA,Unidirectional,Sub-parallel,1,0.703703704,0.640740712,0.917874362,0.835748725,0.766666695,2063.922363,1079.74858,Artec.Spider,yes
Ca_11,Cala,AU12,Chert,FALSE,0%,NA,Core-Tool,Flake,yes,yes,E - carinated,Carinated,Carinated endscraper,Carinated endscraper,Bladelet,16,26,25.10000038,15.89999962,25.60000038,NA,NA,Bladelet,13.8,5.2,1,Ventral face,NA,Unidirectional,Sub-parallel,1,0.633466111,0.63745019,0.611538447,0.615384615,1.035856558,3217.052734,1391.778788,Artec.Spider,yes
Ca_12,Cala,AU12,Radiolarite,FALSE,1-33%,Lateral right,Core-Tool,Flake,yes,yes,E - carinated,Carinated,Carinated endscraper,Carinated endscraper,Bladelet,12.60000038,22.39999962,29.39999962,14.19999981,17,NA,NA,Bladelet,12.3,4,1,Ventral face,NA,Unidirectional,Sub-parallel,1,0.482993197,0.428571447,0.633928574,0.562500027,0.761904759,2895.134277,1439.156604,Artec.Spider,yes
Ca_15,Cala,AU12,Chert,FALSE,0%,NA,Core-Tool,Flake,yes,yes,E - carinated,Carinated,Carinated endscraper,Carinated endscraper,Bladelet-Flake,14.80000019,31.29999924,36.59999847,14.10000038,18,NA,NA,Flake,6.1,9.4,1,Ventral face,NA,Unidirectional,Convergent,1,0.385245928,0.404371607,0.450479256,0.472843468,0.855191272,4755.030273,2052.381101,Artec.Spider,yes
Ca_23,Cala,AU12,Radiolarite,TRUE,0%,NA,Core-Tool,Flake,yes,yes,E - carinated,Carinated,Carinated endscraper,Carinated endscraper,Bladelet,11.8,27.39999962,13.89999962,11.8,18.79999924,NA,NA,Bladelet,11.6,4.3,1,Ventral face,NA,Unidirectional,Convergent,1,0.848920887,0.848920887,0.43065694,0.43065694,1.971223048,1745.226563,947.4365619,Artec.Spider,yes
Ca_29,Cala,AU12,Radiolarite,FALSE,1-33%,Back,Core-Tool,Flake,yes,yes,E - carinated,Carinated,Carinated endscraper,Carinated endscraper,Bladelet,10.39999962,31.5,32.20000076,9.5,19.29999924,NA,NA,Flake,9.2,6,1,Reshaped,NA,Unidirectional,Convergent,1,0.295031049,0.322981347,0.301587302,0.330158718,0.978260846,4987.584961,2140.506413,Artec.Spider,yes
Ca_30,Cala,AU12,Radiolarite,TRUE,33-66%,Back;Base,Core-Tool,Flake,yes,yes,E - carinated,Carinated,Carinated endscraper,Carinated endscraper,Bladelet,18.29999924,23.4,25.8,16.39999962,22.70000076,NA,NA,Bladelet,11.8,3.3,1,Reshaped,NA,Unidirectional,Convergent,1,0.6356589,0.709302296,0.700854685,0.782051249,0.906976744,3467.727051,1469.45143,Artec.Spider,yes
Ca_31,Cala,AU12,Radiolarite,FALSE,0%,NA,Core-Tool,Flake,yes,yes,E - carinated,Carinated,Carinated endscraper,Carinated endscraper,Bladelet-Flake,17.60000038,34.5,26.60000038,15.39999962,29,NA,NA,Flake,15.9,9.3,1,Ventral face,NA,Unidirectional,Sub-parallel,1,0.578947346,0.66165414,0.446376801,0.510144939,1.296992463,5687.731445,2058.973198,Artec.Spider,yes
Ca_32,Cala,AU12,Radiolarite,FALSE,33-66%,Back;Base,Core-Tool,Pebble,yes,yes,E - carinated,Carinated,Carinated endscraper,Carinated endscraper,Bladelet,15.60000038,24.70000076,28.7,15.60000038,17.10000038,NA,NA,Bladelet,7.9,2.9,1,Reshaped,NA,Unidirectional,Sub-parallel,1,0.54355402,0.54355402,0.631578943,0.631578943,0.860627204,4608.467285,1774.11487,Artec.Spider,yes
Ca_33,Cala,AU12,Chert,FALSE,0%,NA,Core-Tool,Flake,yes,yes,E - carinated,Carinated,Carinated core,Carinated core,Bladelet,20.60000038,37,27.39999962,20.39999962,32.5,NA,NA,Bladelet,13.9,7.1,1,Ventral face,NA,Unidirectional,Sub-parallel,1,0.744525544,0.751824842,0.551351341,0.556756767,1.350364982,6283.228027,2141.225346,Artec.Spider,yes
Ca_34,Cala,AU12,Chert,FALSE,33-66%,Base,Core-Tool,Pebble,yes,yes,E - carinated,Carinated,Carinated endscraper,Carinated endscraper,Bladelet,13.80000019,23.39999962,31.89999962,15.60000038,17,NA,NA,Bladelet,14.7,3.9,1,Reshaped,NA,Unidirectional,Convergent,1,0.489028231,0.432601892,0.666666694,0.589743608,0.733542317,4379.596191,1696.60126,Artec.Spider,yes
Ca_35,Cala,AU12,Radiolarite,FALSE,66-99%,Back;Base;Lateral left;Lateral right,Core-Tool,Flake,yes,yes,E - carinated,Carinated,Carinated endscraper,Carinated endscraper,Bladelet-Flake,31.39999962,42.40000153,53.20000076,14.30000019,15.5,NA,NA,Flake,8.6,10.9,1,Plain,NA,Unidirectional,Sub-parallel,1,0.268796992,0.590225548,0.337264143,0.740566002,0.796992498,26491.27148,5656.688401,Artec.Spider,yes
Ca_36,Cala,AU12,Chert,FALSE,0%,NA,Core-Tool,Flake,yes,yes,E - carinated,Carinated,Carinated endscraper,Carinated endscraper,Bladelet-Flake,22.10000038,39.29999924,29.39999962,14.89999962,19,NA,NA,Flake,12,9,1,Ventral face,NA,Unidirectional,Sub-parallel,1,0.506802715,0.751700703,0.379134858,0.562340988,1.336734685,4630.280273,1767.78051,Artec.Spider,yes
Ca_38,Cala,AU12,Radiolarite,FALSE,1-33%,Base,Core-Tool,Flake,yes,yes,E - carinated,Carinated,Carinated core,Carinated core,Bladelet-Flake,15,24.29999924,23.5,16.5,23.60000038,NA,NA,Bladelet,13.8,4.4,1,Plain,NA,Unidirectional,Convergent,1,0.70212766,0.638297872,0.679012367,0.61728397,1.034042521,2796.625977,1215.795482,Artec.Spider,yes
Ca_39,Cala,AU12,Radiolarite,TRUE,0%,NA,Core-Tool,Flake,yes,yes,E - carinated,Carinated,Carinated endscraper,Carinated endscraper,Bladelet,11,21.79999924,21.5,12,21.20000076,NA,NA,Bladelet,12,5.5,1,Ventral face,NA,Unidirectional,Sub-parallel,1,0.558139535,0.511627907,0.550458735,0.504587174,1.013953453,2102.728271,1066.526384,Artec.Spider,yes
Ca_40,Cala,AU12,Radiolarite,FALSE,0%,NA,Core-Tool,Flake,yes,yes,E - carinated,Carinated,Carinated endscraper,Carinated endscraper,Bladelet,12.39999962,26.79999924,23.29999924,13.10000038,20.79999924,NA,NA,Bladelet,11,4.3,1,Ventral face,NA,Unidirectional,Convergent,1,0.562231794,0.532188842,0.488805998,0.462686566,1.150214597,3247.829834,1546.61253,Artec.Spider,yes
Ca_41,Cala,AU12,Chert,FALSE,0%,NA,Core-Tool,Flake,yes,yes,E - carinated,Carinated,Carinated burin,Carinated burin,Bladelet,11.30000019,18.5,22.89999962,10.39999962,9.300000191,NA,NA,Bladelet,7.3,3.5,1,Ventral face,NA,Unidirectional,Convergent,1,0.454148463,0.493449798,0.562162142,0.610810821,0.807860275,1409.106079,862.880662,Artec.Spider,yes
Ca_43,Cala,AU11,Chert,FALSE,1-33%,Back,Core-Tool,Pebble,yes,yes,E - carinated,Carinated,Carinated core,Carinated core,Bladelet,21,24.3,27.6,23.39999962,29,NA,NA,Bladelet,17.9,8.3,1,Plain,NA,Unidirectional,Sub-parallel,1,0.847826073,0.760869565,0.962962947,0.864197531,0.880434783,5794.444336,1976.943589,Artec.Spider,yes
Ca_44,Cala,AU11,Radiolarite,FALSE,1-33%,Base,Core-Tool,Pebble,yes,yes,E - carinated,Carinated,Carinated core,Carinated core,Bladelet,20.20000076,35.29999924,26.79999924,19.70000076,25.60000038,NA,NA,Bladelet,17.3,5.3,1,Plain,NA,Unidirectional,Sub-parallel,1,0.735074676,0.753731393,0.558073688,0.572237994,1.317164188,9609.418945,2831.019316,Artec.Spider,yes
Ca_45,Cala,AU11,Chert,FALSE,66-99%,Back;Base;Lateral right,Core-Tool,Pebble,yes,yes,E - carinated,Carinated,Carinated endscraper,Carinated endscraper,Bladelet-Flake,16,24.79999924,45.59999847,13,13.69999981,NA,NA,Flake,7.7,5.2,1,Plain,NA,Unidirectional,Convergent,1,0.285087729,0.350877205,0.524193565,0.64516131,0.543859651,8255.444336,2639.982473,Artec.Spider,yes
