ID,Volume,Area,Scanner,model.3D
Ca_1,9704.902344,3268.629199,Artec.Spider,yes
Ca_10,2063.922363,1079.74858,Artec.Spider,yes
Ca_100,2292.187012,1163.54773,Artec.Spider,yes
Ca_101,17814.63867,4288.024057,Artec.Spider,yes
Ca_102,4115.401855,2174.722963,Artec.Spider,yes
Ca_103,4441.541504,1749.160948,Artec.Spider,yes
Ca_104,3640.395508,1797.198846,Artec.Spider,yes
Ca_105,3287.499268,1443.781191,Artec.Spider,yes
Ca_106,5497.486328,2066.367001,Artec.Spider,yes
Ca_107,3578.092041,1780.104523,Artec.Spider,yes
Ca_108,2394.745361,1173.970343,Artec.Spider,yes
Ca_109,3093.022461,1362.903361,Artec.Spider,yes
Ca_11,3217.052734,1391.778788,Artec.Spider,yes
Ca_110,8044.735352,2702.498396,Artec.Spider,yes
Ca_111,3830.302979,1587.900343,Artec.Spider,yes
Ca_112,1183.913696,985.9601933,Artec.Spider,yes
Ca_113,5914.833008,2346.041424,Artec.Spider,yes
Ca_114,4891.769531,1816.321993,Artec.Spider,yes
Ca_115,1179.199463,843.5366547,Artec.Spider,yes
Ca_116,1749.11084,957.3819413,Artec.Spider,yes
Ca_117,2817.947754,1355.013326,Artec.Spider,yes
Ca_118,6266.80127,2361.738662,Artec.Spider,yes
Ca_119,3821.184326,1882.647295,Artec.Spider,yes
Ca_12,2895.134277,1439.156604,Artec.Spider,yes
Ca_120,10488.13574,3454.80714,Artec.Spider,yes
Ca_121,4831.38916,2026.915602,Artec.Spider,yes
Ca_122,3916.542236,1637.064058,Artec.Spider,yes
Ca_123,3051.615723,1492.007677,Artec.Spider,yes
Ca_124,2352.356934,1087.392702,Artec.Spider,yes
Ca_125,2697.156738,1393.222433,Artec.Spider,yes
Ca_126,2379.733154,1399.951345,Artec.Spider,yes
Ca_127,14838.98242,3733.816524,Artec.Spider,yes
Ca_128,6393.182129,2138.37727,Artec.Spider,yes
Ca_129,1716.905518,1019.048488,Artec.Spider,yes
Ca_13,1525.496704,821.1826363,Artec.Spider,yes
Ca_130,4973.791992,1789.535262,Artec.Spider,yes
Ca_131,2478.714111,1257.835597,Artec.Spider,yes
Ca_132,6586.142578,2981.852634,Artec.Spider,yes
Ca_133,6323.845215,2203.716338,Artec.Spider,yes
Ca_134,1844.430542,1041.2739,Artec.Spider,yes
Ca_135,1197.379395,975.5692417,Artec.Spider,yes
Ca_136,2953.636475,1391.123345,Artec.Spider,yes
Ca_137,4055.880615,1612.136286,Artec.Spider,yes
